2,3,4,5
0.0132,0.014,0.0143,0.0287
0.0294,0.0291,0.0341,0.0527
0.0506,0.0488,0.0571,0.073
0.0739,0.0826,0.0932,0.11
0.0954,0.0977,0.1297,0.1468
0.1188,0.1444,0.1524,0.1691
0.1394,0.192,0.1751,0.2018
0.2121,0.2206,0.2365,0.2505
